,Car_name,Year,Distance,Fuel_type,Drive,Price
366,Maruti Ertiga ZDI,2017,99767,DIESEL,MANUAL,733000
367,Maruti Alto LXI,2019,37682,PETROL,MANUAL,372000
368,Honda City 1.5L,2019,54705,PETROL,AUTOMATIC,958000
369,Maruti Wagon R,2014,43998,PETROL,MANUAL,355000
370,Tata NEXON XMA,2022,26596,DIESEL,AUTOMATIC,1072000
371,KIA SELTOS HTX,2021,43984,PETROL,MANUAL,1243000
372,Mahindra XUV500 W8,2014,108937,DIESEL,MANUAL,484000
373,Maruti Swift VXI,2013,79637,PETROL,MANUAL,360000
374,Hyundai Grand i10,2017,76899,PETROL,AUTOMATIC,565000
375,Hyundai Santro Xing,2010,55293,PETROL,MANUAL,134000
376,Maruti IGNIS ZETA,2017,65114,PETROL,MANUAL,554000
377,Volkswagen Vento COMFORTLINE,2016,75628,DIESEL,AUTOMATIC,503000
378,Maruti Swift VXI,2013,46822,PETROL,MANUAL,317000
379,Maruti Baleno ZETA,2016,46564,PETROL,MANUAL,525000
380,Honda Jazz 1.2L,2020,34815,PETROL,MANUAL,805000
381,Tata NEXON XZ,2022,27385,PETROL,MANUAL,896000
382,Hyundai Creta S,2015,77283,DIESEL,MANUAL,614000
383,Ford Ecosport TITANIUM,2017,47695,PETROL,AUTOMATIC,754000
384,Tata PUNCH CREATIVE,2023,14518,PETROL,MANUAL,969999
385,Ford Ecosport TITANIUM,2016,41949,PETROL,AUTOMATIC,629000
386,Maruti Baleno DELTA,2016,56956,PETROL,MANUAL,639000
387,Hyundai AURA S,2020,49378,CNG,MANUAL,695000
388,Hyundai Grand i10,2017,21635,PETROL,MANUAL,476000
389,Maruti Alto LXI,2023,6504,PETROL,MANUAL,416000
390,Maruti Vitara Brezza,2021,34127,PETROL,MANUAL,706000
391,Honda Amaze 1.5L,2018,116404,DIESEL,MANUAL,397000
392,Hyundai Grand i10,2018,42364,PETROL,AUTOMATIC,645000
393,Honda City 1.5L,2017,39871,PETROL,MANUAL,839000
394,Maruti Ciaz ALPHA,2021,33706,PETROL,AUTOMATIC,1006000
395,Mahindra XUV500 W4,2015,84719,DIESEL,MANUAL,612000
396,Tata NEXON XZ,2021,32265,DIESEL,MANUAL,1051000
